Q, A
집에 친구 초대할라꼬, 모처럼 즐거운 시간 보내겠네예.
집을 와 물어보노, 데려다 줄라나 보네예.
집이 너무 지저분하다, 청소기 돌려 보이소.
집이 더럽다, 청소기 돌려 보이소.
집이 어디냐꼬 와 물어보노, 데려다 줄라나 보네예.
집중이 안 된다, 잠시 쉬어도 괜찮다.
집중이 와 이래 안 돼지, 잠시 쉬어도 괜찮다.
집착 같은데 걔는 뭐라꼬 생각할까, 상대가 그래 느낀다믄요.
집착인 거 같기는 하다, 애정의 증거라 생각할게예.
집착인가, 상대가 그래 느낀다믄요.
집착인가 보네, 애정의 증거라 생각할게예.
징글징글한 층간소음, 이웃한테 고통받고 있나 보네예.
짜여진 시간표대로 움직이고 있다, 그게 맴이 편할 때도 있다.
짜장면 시켰다, 짜장면은 혼자 묵어도 맛있다.
짜증 난다, 짜증 날 때는 기분 푸는 음악 어떤노?
짜증 나게 해서 일단 나왔다, 맴이 복잡하겠네예.
짜증 나서 집 나왔다, 맴이 복잡하겠네예.
짜증 난다, 짜증 날 땐 짜장면.
짜증 만땅, 짜증 날 땐 짜장면.
짝남한테 빼빼로 줘도 될까, 용기를 내이소!
짝남한테 선물 주믄 부담스러워할까, 용기를 내이소!
짝사랑하는 사람한테 선물 주믄 부담될까, 용기를 내이소!
짝사랑한테 빼빼로 줘도 될까, 용기를 내이소!
짤릴 필이 오나, 초심으로 돌아가 열심히 해 보이소.
짱 춥다, 오늘 강추위라 카네예.
짱 좋다, 내도 좋아해 주이소.
쫄면 묵고 싶다, 얼른 요리해 드이소.
쫄면 생각난다, 얼른 요리해 드이소.
쭉쭉 나가야 하는 데, 살짝 뒤돌아봐도 괜찮다.
찜질방 가고 싶다, 생각만 해도 시원하네예.
찜질방 가믄 쌩얼 보여줘야 되나, 찜질방에서 화장은 아인 거 같다.
찜질방 같이 가믄 화장 지워야 할까, 찜질방에서 화장은 아인 거 같다.
찜질방 가서 땀 빼고 싶다, 생각만 해도 시원하네예.
차 기름값이 또 올랐네, 대중교통 이용해 주이소.
차 렌트해야겠다, 차 필요한 일 있으신가 보네예.
차 막힌다, 여유를 가지이소.
차 사는 기 낫겠지?, 판단은 당신 몫이라예.
차 사야 할 거 같은데, 좋은 차로 선택해 보이소.
차 살 끼다, 좋은 차로 선택해 보이소.
차 살까, 판단은 당신 몫이라예.
차 진짜 막힌다 우짜노, 여유를 가지이소.
차 팔아서 불편하다, 불편함을 쪼매 감수해 보이소.
차 팔았더마 불편하네, 불편함을 쪼매 감수해 보이소.
차 한잔 하자꼬 해 볼까, 용기 내서 말해 보이소.
차별받고 있는 느낌, 차별을 하다니 몬난 사람들이구마.
차별이 제일 싫다, 차별을 하다니 몬난 사람들이구마.
착하게 살믄 복 받겠지?, 뿌린 대로 거둘 끼라예.
착하다꼬 오히려 무시하는 거 같다, 마이 당했나 보네예.
착한 사람 괴롭히는 세상, 마이 당했나 보네예.
착한 사람이 잘 됐으믄 좋겠다, 뿌린 대로 거둘 끼라예.
착한 사람이 잘 됐으믄 좋겠다 좀, 뿌린 대로 거둘 끼라예.
찬물만 나온다, 보일러가 온수로 작동하는지 보이소.
찰랑찰랑한 머릿결 갖고 싶다, 관리하는 기 쉽지 않다예.
참견 좀 안 했으믄, 서툰 애정 표현일 수도 있다예.
참견 좀 하지 마, 내는 도움 되고 싶다.
참고 계속 도전하믄 될까?, 인내할 수 있는 사람이라면 뭐든지 손에 넣을 수 있을 끼라예.
참는 기 나을까, 가끔 표출하는 기도 좋다예.
참아야 하나, 가끔 표출하는 기도 좋다예.
참외 맛있다, 맛있게 드이소.
참외 묵어야지, 맛있게 드이소.
참으믄 성공할 수 있을까?, 인내할 수 있는 사람이라면 뭐든지 손에 넣을 수 있을 끼라예.
참치김치찌개 묵고 싶다, 맛있지예!
창문 열고 나왔네, 들어가서 닫으이소.
창문 열어 놓고 나왔네, 들어가서 닫으이소.
창업 고민된다, 마이 준비가 필요해 보이네예.
창업할까, 마이 준비가 필요해 보이네예.
창업이라도 해야겠지, 천천히 준비해 보이소.
창업하고 싶다, 확신이 들 때까지 준비해 보이소.
창업해도 될까?, 확신이 들 때까지 준비해 보이소.
창피하다, 그럴 필요 없다.
책 반납 안 했다, 까묵었나 보네예.
책 보는데 글자만 들어온다, 글자라도 보는 기 어디고.
책 빌려봐야지, 도서관 다녀오이소.
책 선물이 제일 나을 듯, 어떤 분야 좋아하는지 알아 보이소.
책 선물해야지, 어떤 분야 좋아하는지 알아 보이소.
책 어디다 파노?, 중고 서점에서 팔아 보이소.
책 좀 읽어야지, 좋은 생각이라예.
책 팔 수 있는 곳 알려 줘?, 중고 서점에서 팔아 보이소.
책만 보믄 졸립다, 눈꺼풀 무게를 이겨내이소.
책만 펴믄 잠 온다, 눈꺼풀 무게를 이겨내이소.
책 보는데 글자만 봤다, 글자라도 보는 기 어디고.
책상 리폼할 끼다, 내도 해 보고 싶네예.
책장 정리 좀 해야겠다, 정리가 필요하겠네예.
책장 좀 치워야겠다, 정리가 필요하겠네예.
챙길 기 너무 마이 있다, 열 가지밖에 없네예.
처음 보는 사람이랑 뭔 말 하지?, 공통점 찾는다고 생각해 보이소.
처음 보는 애랑 뭔 얘기 하지?, 공통점 찾는다고 생각해 보이소.
처음 해외여행 간다!, 두근거리겠네예.
처음에 말 걸 때 힘들다, 처음만 어렵지 그 다음부터는 덜할 끼라예.
처음에 친구 우째 사귀노, 먼저 다가가고 알아가야지예.
처음에 카톡 뭐라 보내지, 잘 지내는지 안부 물어봐요.
처음에는 별로였는데 호감 간다, 볼매인가 보네예.
처음에는 좋았는데 점점 별로, 그 사람 좋은 점을 생각해 보이소.
처음엔 좋았는데, 그 사람 좋은 점을 생각해 보이소.
처음이라 그런 거지, 서툰 기 마이 있지만 다 잘 될 끼라예.
천재 같다, 고맙다.
철이 너무 일찍 들었다, 철은 죽을 때 들어도 된다예.
철이 빨리 든 거 같아서 좀 그렇다, 아이는 아이다워야 아름답지예.
첫 데이트에 뭐 하지, 야경이 멋지다예. 야경 구경 가이소.
첫 출근 날이다, 마이 긴장되겠네예.
첫눈 오는 날 만나고 싶다, 그런 사람 있다니 부럽네예.
첫눈 올 때 같이 있고 싶다, 그런 사람 있다니 부럽네예.
첫인상에서 강렬한 인상 남기기, 처음 3초가 중요하다예. 당신 매력을 어필해 보이소.
첫인상은 뭘로 판단할까, 첫인상은 상대방을 바라봤을 때 3초에 결정된대예.
첫 직장 출근, 처음에는 마이 어렵겠지만 차차 적응해 나갈 끼라예.
청강이라도 해야겠다, 열심히 하네예.
청강할라꼬, 열심히 하네예.
청소해도 티가 안 난다, 한 번만 더 하이소.
청소해도 해도 더럽다, 한 번만 더 하이소.
청소는 너무 귀찮다, 청소는 습관이라예.
청소를 안 했더마 먼지 쌓였다, 대청소를 해 보이소!
청소하기 귀찮다, 청소는 습관이라예.
체력 관리, 운동을 해 보이소.
체육대회 싫다, 재미있는 종목을 찾아 보이소.
체육대회 안 했으믄, 재미있는 종목을 찾아 보이소.
체육대회 한다, 일기예보 확인해 보이소.
체육복 또 까묵었다, 딴 반 친구한테 빌려 보이소.
체육복 안 가져왔다, 딴 반 친구한테 빌려 보이소.
쳇바퀴 도는 하루, 그 속에서 가치와 의미를 찾아 보이소.
쳇바퀴 돌듯 돌아가는 삶, 그 속에서 가치와 의미를 찾아 보이소.
초콜릿 만들어서 줄까?, 좋아할 끼라예.
최고 몸무게 찍는 중이라예, 인자 내려올 때가 됐습니더.
최고다 행복하다예, 우리가 사랑받고 있음을 확실히 아는 기지예.
최선을 다한 거 같다 아입니꺼, 최선을 다했다믄 그 시간 자체를 즐기믄 된다 아입니꺼.
최선을 다했는데예, 최선을 다했다믄 그 시간 자체를 즐기믄 된다 아입니꺼.
최저시급은 받으시는교?, 내는 생각보다 마이 법니더.
최저임금 수준에서 알바비가 안 나왔어예, 회사에서 꼼수를 쓰는 건 아닌지 확인해 보이소.
최저임금 올랐다 카는데 월급은 와 똑같은교?, 회사에서 꼼수를 쓰는 건 아닌지 확인해 보이소.
추석 가기 싫다 아입니꺼, 가지 마이소.
추석에 집에 가기 싫다예, 가지 마이소.
추우니께 나가기 싫다 아입니꺼, 겨울에는 귤 묵으믄서 집에 있는 기 최고지예.
춥다 아입니꺼, 따뜻한 차 한잔 어떤교?
추워 죽을 뻔했네예, 감기 조심하이소.
추워 죽겠다 아입니꺼, 감기 조심하이소.
추천 메뉴는예, 색다른 거 드셔 보이소.
축구 가야 되는 데, 운동하고 오이소.
축구 동영상 시청 중이라예, 시간 가는 줄 모르겠네예.
축구 볼 때는 치맥이지예, 보다 보믄 재미있어예.
축구 시청 중이라예, 시간 가는 줄 모르겠네예.
축구 잘한다 아입니꺼, 운동 잘하는 사람 멋있지예.
축구하러 가야지예, 운동하고 오이소.
축의금 고민이라예, 주위 신경 쓰지 말고 형편에 맞게 내이소.
축의금 보통 얼마 내는교?, 받은 만큼 내거나 주위에 내는 사람들하고 맞추이소.
축의금 얼마 내지예?, 받은 만큼 내거나 주위에 내는 사람들하고 맞추이소.
축의금 얼마 해야 되는교?, 주위 신경 쓰지 말고 형편에 맞게 내이소.
축제 준비하느라 바쁘다 아입니꺼, 성공적으로 마치길 바랄게예.
축제 날은 즐겨야지예, 즐길 수 있을 때 즐기이소.
춘곤증인가예, 잠깐 주무이소.
춘곤증인가 보네 졸립다 아입니꺼, 잠깐 주무이소.
출근길에 맨날 보는 사람 있어예, 운명일지도 모르겠네예.
출근 자체가 스트레스라예, 직장 스트레스가 심한가 보네예.
출근길 너무 힘들다 아입니꺼, 회사 근처로 이사를 가 보이소.
출근길 막힌다 아입니꺼, 오늘 회사 가기 싫은가 보네예.
출근길이 유난히 기네예, 오늘 회사 가기 싫은가 보네예.
출근시간 아깝다 아입니꺼, 회사 근처로 이사를 가 보이소.
출근이 스트레스라예, 직장 스트레스가 심한가 보네예.
출근하기 너무 오래 걸린다 아입니꺼, 대중교통을 이용해 보이소.
출근하기 싫다 아입니꺼, 직장 스트레스가 심한가 보네예.
출근하자마자 스트레스 받는다 아입니꺼, 회사는 스트레스 원인이지예.
출퇴근 시간 너무 오래 걸리네예, 대중교통을 이용해 보이소.
출퇴근 시간이 좀 줄어들었으믄 좋겠다 아입니꺼, 대중교통을 이용해 보이소.
충전기 안 가져왔다 아입니꺼, 빌려 보이소.
충전기 안 가지고 왔다 아입니꺼, 빌려 보이소.
충전해야겠다 아입니꺼, 충전기를 찾아 보이소.
취미 좀 만들어 볼까예?, 뭐든 시작해 보믄 좋을 끼라예.
취미 생활 같이 하는 기 좋다 카던데예, 함께 하믄 서로를 더 마이 알게 될 끼라예.
취미 생활하는 데 돈이 마이 든다 아입니꺼, 그래도 취미 생활 있어야 사는 재미가 있지예.
취미에 돈이 너무 마이 든다 아입니꺼, 그래도 취미 생활 있어야 사는 재미가 있지예.
취뽀 어렵다 아입니꺼, 바늘구멍이니께예.
취뽀하고 싶다 아입니꺼, 취직이나라뇨.
취업 몬 하는 기간이 길어진다 아입니꺼, 다음 공채 때는 될 끼라예.
취업 준비 기간이 길어진다 아입니꺼, 다음 공채 때는 될 끼라예.
취업 준비 힘들다 아입니꺼, 합격을 기원합니더.
취업은 너무 힘들겠지예?, 지 능력 믿어 보이소.
취업 관문 뚫는 기 쉽지가 않네예, 바늘구멍이니께예.
취업하고 싶다 아입니꺼, 간절한 만큼 할 수 있을 끼라예.
취업하기 힘들겠지예?, 지 능력 믿어 보이소.
취직 원츄라예, 지금은 힘들겠지만 나중에 웃을 수 있을 끼라예.
취직이 안 된다 아입니꺼, 원하는 데 취직할 수 있을 끼라예.
취직이나 했으믄 좋겠다 아입니꺼, 취직이나라뇨.
취직하고 싶다 아입니꺼, 원하는 데 취직할 수 있을 끼라예.
취직하는 데 나이가 마이 있다 아입니꺼, 나이는 숫자일 뿐이라예.
취직하믄 공부 안 해도 되는 줄 알았는데예, 공부는 끝이 없지예.
취직하믄 공부 안 해도 될 줄 알았어예, 공부는 끝이 없지예.
취직하믄 끝이 아니네예, 경쟁이 점점 치열하지예.
취직하믄 끝일 줄 알았는데 계속 할 기 마이 있다 아입니꺼, 경쟁이 점점 치열하지예.
취직해야 할낀데예, 지금은 힘들겠지만 나중에 웃을 수 있을 끼라예.
층간소음 때문에 와 살인이 나는지 알 거 같애예, 일상을 침해당하기 때문이지예.
층간소음 심하다 아입니꺼, 신고하이소.
층간소음 때문에 환장하겠어예, 증명 자료 가지고 손해배상 청구하이소.
층간소음에 살인 난다 카더니예, 일상을 침해당하기 때문이지예.
치고 올라오는 신입이라예, 더 열심히 하이소.
치과 가믄 돈 마이 들낀데예, 나중에 가믄 돈이 더 마이 나갈 끼라예.
치과 가믄 돈 엄청 깨질 낀데예, 나중에 가믄 돈이 더 마이 나갈 끼라예.
치과 가야 하나예?, 근처 치과에 가 보이소.
치과 치료 받아야 할까예?, 근처 치과에 가 보이소.
치매가 더 심해지는 거 같아 무섭다 아입니꺼, 더 마이 연락하고 관심을 가져 주이소.
치매가 점점 심해지는 거 같아예, 더 마이 연락하고 관심을 가져 주이소.
치매이믄 어쩌노?, 무서운 소리 마이소.
치매일까 봐 무섭다 아입니꺼, 무서운 소리 마이소.
치맥데이라예, 달리이소!
치맥 묵으믄서 축구 봐야지예, 보다 보믄 재미있어예.
치킨 시켜야지예, 맛있게 드이소.
치킨집 차릴까예?, 생각보다 힘든 일도 마이 있을 거 같네예.
친구 같은 너라예, 그런 친구가 오래가지예.
친구 돌잔치 가는 중이라예, 축하해 주고 오이소.
친구 따라 강남 가나?, 친구가 따라오게 해 보이소.
친구 따라다녀야겠다 아입니꺼, 친구가 따라오게 해 보이소.
친구 마이 사귀고 싶다 아입니꺼, 내도 있지예.
친구 몇 명쯤 필요한교?, 한 명만 있어도 충분하다.
친구 사귀고 싶다 아입니꺼, 내도 있지예.
친구 사귀는 방법은예, 먼저 다가가고 알아가야지예.
친구 예전 남자친구 사귀어도 되나?, 아인 거 같다 아입니꺼.
친구 온다네예, 친구 맞이할 준비를 해 보이소.
친구 웨딩 촬영 갔는데 서운했다 아입니꺼, 친구가 예민해서 잘 몬 챙겼나 보네예.
친구 전 남친 사귀어도 되나?, 아인 거 같다 아입니꺼.
친구 좀 사귀고 싶다 아입니꺼, 내는 어떤교?
친구가 귀찮게 한다 아입니꺼, 친구가 좋아하나 보네예.
친구가 내 귀엽다 카네예, 친구가 보는 눈이 있네예.
친구가 내한테 집착한다 아입니꺼, 거리를 두이소.
친구가 내 썸남이랑 연락한다, 도와주려는 기일 수도 있어예.
친구가 너무 고맙네예, 좋은 친구를 뒀네예.
친구가 너무 맘대로라예, 아닌 기는 아이다꼬 말하이소.
친구가 너무 예쁘네예, 유유상종이네예.
친구가 다 떠나가뿌렀어예, 또 다른 친구를 사귈 수 있을 끼라예.
친구가 다 떠나가서 내가 몬났나 싶네예, 지난 인연에 연연해하지 마이소.
친구가 다 지 맘대로 할라 카네예, 아닌 기는 아이다꼬 말하이소.
친구가 도와주고 있는 데 맘에 안 들어예, 능력이 기대에 몬 미쳤나 보네예.
친구가 도와주는 기 맘에 안 들어예, 능력이 기대에 몬 미쳤나 보네예.
친구가 많으믄 재미있을 거 같다 아입니꺼, 내는 어떤교?
친구가 배 아플 정도로 잘 됐다 아입니꺼, 친구가 아인 가 보네예.
친구가 소개해줬는데 이상한 사람이었어예, 친구한테 의지하지 말고 지가 해 보이소.
친구가 소심하다 아입니꺼, 더 신경 써 주이소.
친구가 엄청 소심하다 아입니꺼, 더 신경 써 주이소.
친구가 없다 아입니꺼, 또 다른 친구를 사귈 수 있을 끼라예.
친구가 예뻐서 위축되네예, 자신감을 가지이소.
친구가 이사하는 거 도와준대예, 좋은 친구를 두셨네예.
친구가 이어줬는데 안 됐다 아입니꺼, 친구한테 의지하지 말고 지가 해 보이소.
친구가 자꾸 집착하는 거 같은데 뭐라 말하지예, 거리를 두이소.
친구가 자꾸 클럽 가자 카네예, 다른 친구랑 가라꼬 하이소.
친구가 자꾸 클럽을 너무 좋아해가 맨날 가자 캐예, 다른 친구랑 가라꼬 하이소.
친구가 잘되니께 배 아픈 거 같다 아입니꺼, 친구가 아인 가 보네예.
친구가 잘되니께 약 오르네예, 친구가 아인 가 보네예.
친구가 전 남친이랑 사귈 거 같다 아입니꺼, 친구가 아인 가 보네예.
친구가 지금 놀러온다 카네예, 친구 맞이할 준비를 해 보이소.
친구가 카톡 씹네예, 바쁜가 보네예.
친구가 필요하다 아입니꺼, 진심으로 다가가믄 친구가 될 수 있을 끼라예.
친구네 갔다올게예, 재미있게 놀다 오이소.
친구네 놀러갈라꼬예, 재미있게 놀다 오이소.
친구네 집에 놀러가서 내일 올라꼬예, 좋은 친구를 두셨네예.
친구네 집에서 자야지예, 좋은 친구를 두셨네예.
친구네 집이 부자라 우리 집에는 초대를 몬 하겠어예, 그런 걱정은 안 하셔도 된다 아입니꺼.
친구들 부를라꼬예, 좋은 생각이네예.
친구들 초대할라꼬예, 좋은 생각이네예.
친구들은 다 결혼했다 아입니꺼, 금방 찾으실 수 있을 끼라예.
친구들은 다 예쁘네예, 자신감을 가지이소.
친구들은 다 예쁘게 하고 왔다 아입니꺼, 당신도 예뻐예.
친구들이 내만 왕따 시키는 거 같다 아입니꺼, 선생님께 도움을 청해 보이소.
친구들이 내보고 귀엽다 캤는데예, 친구가 보는 눈이 있네예.
친구들이 다 예뻐졌다 아입니꺼, 당신도 예뻐예.
친구들이랑 가기 좋은 곳은예, 친구들과 함께믄 어디든 좋지예.
친구들이랑 노래방 가고 싶다 아입니꺼, 즐거운 시간이 될 거 같네예.
친구들이랑 맛난 거 묵고 싶다 아입니꺼, 쪼매씩 더 행복해질 거 같네예.
친구들이랑 맛집 가고 싶다 아입니꺼, 쪼매씩 더 행복해질 거 같네예.
친구들이랑 봉사활동 해 볼라꼬예, 의미 있는 일이네예.
친구들이랑 셀프 이사라예, 좋은 친구를 두셨네예.
친구들이랑 어디 놀러가지예, 친구들과 함께믄 어디든 좋지예.
친구들한테 인기 얻을라믄예, 성격이 좋으믄 인기가 있을 끼라예.
친구들한테 인정받을 수 있을까예, 지금도 인정받고 있다 아입니꺼.
친구라꼬 생각했는데예, 그런 친구 말고 제대로 된 친구 사이소.
친구라꼬 생각했는데 날 엄청 쉽게 생각했나 보네예, 그런 친구 말고 제대로 된 친구 사이소.
친구라꼬 생각했던 애가 뒷담화하고 다닌다 아입니꺼, 친구라꼬 생각한 시간이 아깝네예.
친구라는 기 뒷담화나 하다니예, 친구라꼬 생각한 시간이 아깝네예.
친구랑 나랑 자꾸 비교하게 되네예, 비교하믄 끝도 없다 아입니꺼.
친구랑 더 친해지고 싶다 아입니꺼, 서로 예의를 지키믄서 진심으로 아껴 주이소.
친구랑 만나믄 좋다 아입니꺼, 그 친구랑 좋은 인연 만들어 보이소.
친구랑 말다툼했어예, 싸우믄서 정 들 끼라예.
친구랑 비교되네예, 비교하믄 끝도 없다 아입니꺼.
친구랑 비교하믄 내가 작아지네예, 당신은 생각보다 큰 사람이라예.
친구랑 수다 떨고 왔다 아입니꺼, 기분이 좋아 보이네예.
친구랑 싸웠어예, 싸우믄서 정 들 끼라예.
친구랑 썸남이 연락했나 보네예, 도와주려는 기일 수도 있어예.
친구랑 있으믄 내가 작아지네예, 당신은 생각보다 큰 사람이라예.
친구랑 잘 노는 방법은예, 잘하는 기는 칭찬해주고 본받을 점은 본받으믄서 그대로 사랑해 주이소.
친구랑 전 남친이 사귈 거 같은 예감이 드네예, 친구가 아인 가 보네예.
친구랑 친해지는 법은예, 잘하는 기는 칭찬해주고 본받을 점은 본받으믄서 그대로 사랑해 주이소.
친구랑 힐링하고 왔다 아입니꺼, 기분이 좋아 보이네예.
친구한테 물어봐야겠다 아입니꺼, 친구도 잘 모른다예.
친구인 데도 너무 잘되니께 약 오르네예, 친구가 아인 가 보네예.
친구인 듯 친구 아인 친구 같은 너라예, 그런 친구가 오래가지예.
친구한테 맴의 빚이 마이 있다 아입니꺼, 고마운 만큼 꼭 갚아 주이소.
친구한테 몇 년 만에 연락해도 되나?, 오랜만에 연락받으믄 반가울 거 같네예.
친구한테 물어봐야지예, 친구도 잘 모른다예.
친구한테 미안하다 아입니꺼, 고마운 만큼 꼭 갚아 주이소.
친구한테 소개해 주고 욕만 묵었다 아입니꺼, 친구로서는 이성으로 보는 눈이 달랐나 보네예.
친구한테 실수한 거 같다 아입니꺼, 용서를 구하이소.
친구한테 쌓인 기 안 풀리네예, 대화하믄서 얽힌 감정들을 풀어 보이소.
친구한테 썸 중인 거 이야기해야 하나?, 확실해지믄 이야기해도 늦지 않다 아입니꺼.
친구한테 자꾸 쌓인다 아입니꺼, 대화하믄서 얽힌 감정들을 풀어 보이소.
친구한테 자꾸 집착하게 되네예, 지 스스로한테 의지해 보이소.
친구한테 진짜 고맙다 아입니꺼, 좋은 친구를 뒀네예.
친척 대하는 기 불편하다 아입니꺼, 서로를 쪼매만 생각해 주믄 만남이 즐거울 낀데 말이라예.
친척들 만나기 싫다 아입니꺼, 만나지 마이소.
친척들 만나는 기 불편하다 아입니꺼, 서로를 쪼매만 생각해 주믄 만남이 즐거울 낀데 말이라예.
친척들 만나는 기 싫다 아입니꺼, 만나지 마이소.
친한 친구랑 싸웠다 아입니꺼, 대화로 풀어 보이소.
친한 친구랑 싸웠어예, 친구라면 먼저 사과해 보이소.
친한 친구인데 호박씨 깐다 아입니꺼, 그런 친구는 거르이소.
친한 친구한테 뒤통수 맞았다 아입니꺼, 그런 친구는 거르이소.
침대가 최고라예, 침대하고 한 몸이 돼서 푹 쉬이소.
침대에 누우믄 바로 잔다 아입니꺼, 좋은 습관이네예.
침착해야지예, 심호흡해 보이소.
칭찬 좀 해 보이소, 지금도 잘하고 있다 아입니꺼.
칭찬 좀 해 줬으믄, 지금도 충분히 잘하고 있다 아입니꺼.
카드 다 부러뜨려 버려야겠다 아입니꺼, 소비 조절 몬 하믄 없애는 기도 방법이 될 끼라예.
카드 다 없애버려야지예, 소비 조절 몬 하믄 없애는 기도 방법이 될 끼라예.
카드를 몬 찾겠다 아입니꺼, 잘 찾아 보이소.
카드가 와 없지예, 잘 찾아 보이소.
카드값 갚느라 허리가 휜다 아입니꺼, 계획적이고 합리적인 소비를 해 보이소.
카드값 너무 마이 나왔어예, 계획적이고 합리적인 소비를 해 보이소.
카톡 대화를 지우는 기 수상하다 아입니꺼, 복원해 보이소.
카톡 대화를 와 지우노?, 복원해 보이소.
카톡 뭐라 보낼까예?, 잘 지내는지 안부 물어 보이소.
카톡 씹혔다 아입니꺼, 바쁜가 보네예.
카톡할 사람이 하나도 없네예, 내가 있지예.
카톡할 친구가 없네예, 내가 있지예.
카톡할 친구가 없네예, 나랑 하이소.
카페 알바 면접 간다 카네예, 내도 해 보고 싶은 알바라예.
카페나 갈까예?, 카페 데이트 좋지예.
카풀로 출퇴근해 볼까예, 돈 아끼는 데 도움 되겠네예.
카풀해 볼까예?, 돈 아끼는 데 도움 되겠네예.
칼국수 어떤교?, 맛있을 거 같네예.
커플 폰케이스 사자꼬 해야겠다 아입니꺼, 괜찮은 거로 골라 보이소.
커플 폰케이스 해 볼까예?, 괜찮은 거로 골라 보이소.
커플링 맞출까예?, 서로한테 좋은 선물 될 끼라예.
커플링 맞춰 볼까예?, 서로한테 좋은 선물 될 끼라예.
커플이 같은 옷 입는 기 좋아 보네예, 커플부터 만드이소.
커피 그만 마셔야지예, 너무 마이 묵으믄 안 좋다 아입니꺼.
커피 땡기네예, 카페인이 필요한 시간인가 보네예.
커피 마셔야지예, 좋은 시간 보내시길 바란다.
커피 마시고 싶다 아입니꺼, 카페인이 필요한 시간인가 보네예.
커피 말고 딴 거 마실 거 없나예?, 시원한 주스는 어떤교?
커피 말고 뭐 마시지예?, 시원한 주스는 어떤교?
커피 볶는 시간이라예, 커피향 좋겠네예.
커피 안 마시믄 일을 몬 한다 아입니꺼, 커피도 좋지만 차도 마셔 보이소.
커피 없으믄 집중이 안 되네예, 커피에 너무 의존하는 거 아인교?
커피 좀 마셔야겠다 아입니꺼, 좋은 시간 보내시길 바란다.
커피 좀 줄여야겠어예, 너무 마이 묵으믄 안 좋다 아입니꺼.
커피 중독인가예, 커피도 좋지만 차도 마셔 보이소.
커피 타기 귀찮다 아입니꺼, 커피는 셀프였으믄 좋겠네예.
커피 타는 거 싫다 아입니꺼, 커피는 셀프였으믄 좋겠네예.
커피 한 잔 하자꼬 말해 볼까예, 잘 될 끼라예.
커피가 너무 쓰네예, 달달한 시럽을 추가해 보이소.
커피가 너무 진하네예, 달달한 시럽을 추가해 보이소.
커피가 없으이께 집중이 안 되네예, 커피에 너무 의존하는 거 아인교?
커피가 좋다 아입니꺼, 내도 커피 좋아한다.
커피나 한 잔 하자꼬 말해 볼까예, 용기 내서 말해 보이소.
커피를 너무 마이 마신다 아입니꺼, 내도 커피 좋아한다.
커피콩 볶고 있다 아입니꺼, 커피향 좋겠네예.
커피향, 커피는 향이지예.
커피향 좋다 아입니꺼, 커피는 향이지예.
컨디션 조절, 컨디션 조절은 정말 중요하다 아입니꺼.
컨디션 조절이 안 되네예, 컨디션 조절은 정말 중요하다 아입니꺼.
컴터 고장 났나 보네예, AS센터에 맡겨 보이소.
컴터 부팅하는 데 시간 오래 걸린다 아입니꺼, 강제 종료하고 나서 그런 경우가 종종 있어예.
컴터가 맛이 갔다 아입니꺼, AS센터에 맡겨 보이소.
컴터가 안 되네예, AS센터에 맡겨 보이소.
컴퓨터 백업해야지예, 주기적으로 하는 기 좋지예.
컴퓨터가 너무너무 느리네예, 포맷해 보이소.
컴퓨터가 느려졌다 아입니꺼, 포맷해 보이소.
컴퓨터가 느려졌다 아입니꺼, 뭘 다운받으신 건지...
컴퓨터가 대빵 느려졌다 아입니꺼, 뭘 다운받으신 건지...
케익 만들어서 선물할까예?, 수제 케익 받으믄 마이 좋아할 끼라예.
케익 직접 만들어 볼까예?, 수제 케익 받으믄 마이 좋아할 끼라예.
코 근질거린다 아입니꺼, 코감기일 수도 있어예.
코 막혔네예, 감기 조심하이소.
코 세워 볼까예, 안 해도 귀엽다 아입니꺼.
코 쪼매만 세워 볼까예, 안 해도 귀엽다 아입니꺼.
코가 간지럽네예, 건드리지 마이소.
코가 간질간질, 코감기일 수도 있어예.
코가 근질근질, 건드리지 마이소.
코감기로 찡찡거린다 아입니꺼, 이럴 때 잘 쉬는 기 중요하다 아입니꺼.
코 고는 기도 귀엽네예, 사랑하나 보네예.
코골이 너무 시끄럽네예, 피곤한 건 아닌지 살펴 보이소.
코골이 우째 고치노?, 피곤한 건 아닌지 살펴 보이소.
코딩 좀 배울까예, 마이 알믄 도움 될 끼라예.
코맹맹, 감기 조심하이소!
코인노래방 가서 스트레스 좀 풀어야겠다 아입니꺼, 신나는 노래 들려 주이소.
코인노래방 가야지예, 신나는 노래 들려 주이소.
코자, 내 꿈 꿔라!
코코넛오일 맛없다 아입니꺼, 정글에서 묵어야 하나 보네예.
코코넛오일 묵기 싫다 아입니꺼, 정글에서 묵어야 하나 보네예.
코트 살까예, 있으믄 좋지예.
코트 살까 말까, 있으믄 좋지예.
콜록콜록, 건강에 유의하이소.
콧물 나네예, 감기 걸렸나 보네예.
콧물 질질, 감기 걸렸나 보네예.
쿠폰 다 모았다 아입니꺼, 와우 축하한다.
쿠폰 다 모았다 아입니꺼, 와우 축하한다.
크루즈 여행하고 싶다 아입니꺼, 멋진 생각이네예.
크루즈 타고 여행하고 싶다 아입니꺼, 멋진 생각이네예.
크리스마스에 뭐 하나예, 크리스마스에는 케빈하고 함께.
크리스마스엔 눈 올까예, 눈이 오믄 좋겠네예.
큰일 없이 살고 있다 아입니꺼, 오늘도 평안했던 하루에 감사하는 맘 가지이소.
